AÑO,TRIMESTRE,PROVEEDOR,LÍNEAS EN SERVICIO,LÍNEAS PREPAGO,LÍNEAS POSPAGO,LÍNEAS ACTIVADAS,LÍNEAS RETIRADAS
2023,2,ALMACENES EXITO INVERSIONES S.A.S.,1717073,1717073,0,219688,168194
2023,2,COLOMBIA MOVIL  S.A ESP,15167954,11578344,3589610,3882993,3783549
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,21077017,15528960,5548057,1856509,1342901
2023,2,COMUNICACION CELULAR S A COMCEL S A,38423895,28393869,10030026,4797454,3768361
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,295211,120916,174295,55218,31996
2023,2,LIWA SAS ESP,3618,3618,0,839,89
2023,2,LOGISTICA FLASH COLOMBIA S.A.S,133975,133975,0,3675,9113
2023,2,LOV TELECOMUNICACIONES SAS,11071,11071,0,1803,66
2023,2,PARTNERS TELECOM COLOMBIA SAS,3640271,1988645,1651626,1188794,1092354
2023,2,SETROC MOBILE GROUP SAS,226,226,0,6,10293
2023,2,SUMA MOVIL S.A.S.,32029,32029,0,7868,4366
2023,2,VIRGIN MOBILE COLOMBIA S.A.S.,2816678,2816678,0,112917,95588
2023,3,ALMACENES EXITO INVERSIONES S.A.S.,1887890,1887890,0,194333,23516
2023,3,COLOMBIA MOVIL  S.A ESP,15029453,11275395,3754058,3531833,3670334
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,21384128,15869681,5514447,1935741,1628630
2023,3,COMUNICACION CELULAR S A COMCEL S A,38701128,28567089,10134039,4756796,4918874
2023,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,314896,121479,193417,51933,32248
2023,3,LIWA SAS ESP,4447,4447,0,909,80
2023,3,LOGISTICA FLASH COLOMBIA S.A.S,129438,129438,0,4219,8756
2023,3,LOV TELECOMUNICACIONES SAS,10758,10758,0,748,1061
2023,3,PARTNERS TELECOM COLOMBIA SAS,4676717,2788708,1888009,1909233,872787
2023,3,SUMA MOVIL S.A.S.,37307,37307,0,9151,3873
2023,3,VIRGIN MOBILE COLOMBIA S.A.S.,2831690,2831690,0,138112,123100
2023,4,ALMACENES EXITO INVERSIONES S.A.S.,2138191,2138191,0,262384,12083
2023,4,COLOMBIA MOVIL  S.A ESP,15201455,11256698,3944757,3359176,3187174
2023,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,21431295,16000551,5430744,1956486,1909323
2023,4,COMUNICACION CELULAR S A COMCEL S A,39239608,29022929,10216679,5240435,4249683
2023,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,313398,117589,195809,26120,27618
2023,4,LIWA SAS ESP,5261,5261,0,1008,194
2023,4,LOGISTICA FLASH COLOMBIA S.A.S,127195,127195,0,4204,6447
2023,4,LOV TELECOMUNICACIONES SAS,11006,11006,0,327,79
2023,4,PARTNERS TELECOM COLOMBIA SAS,5929955,3892497,2037458,2322400,1069162
2023,4,SUMA MOVIL S.A.S.,40965,40965,0,8046,4388
2023,4,VIRGIN MOBILE COLOMBIA S.A.S.,2927587,2927587,0,195229,99332
2024,1,ALMACENES EXITO INVERSIONES S.A.S.,2008221,2008221,0,139989,269959
